시장명,소재지도로명주소,소재지지번주소,사용가능상품권,공중화장실 보유여부,주차장 보유여부
함열시장,전라북도 익산시 함열2길-8,전북 익산시 함열읍 와리 544-34,온누리상품권,Y,Y
황등시장,전라북도 익산시 황등면 황등7길,전북 익산시 황등면 황등리 588-2,온누리상품권,Y,Y
강진시장,전라북도 임실군 강진면 호국로 32-35,전북 임실군 강진면 갈담리 381,없음,Y,Y
관촌시장,전라북도 임실군 관촌면 사선1길 70-3,전북 임실군 관촌면 관촌리 586,온누리상품권,Y,Y
오수시장,전라북도 임실군 오수면 오수로 159,전북 임실군 오수면 오수리 351-1,온누리상품권,Y,Y
임실시장,전라북도 임실군 임실읍 운수로 26,전북 임실군 임실읍 이도리 233-1,온누리상품권,Y,Y
산서시장,전라북도 장수군 산서면 보산로 1864-11,전북 장수군 산서면 동화리 839-73,없음,Y,Y
장계시장,전라북도 장수군 장계면 시장천변로 26,전북 장수군 장계면 장계리 464-1,없음,Y,Y
장수시장,전라북도 장수군 장수읍 시장로17,전북 장수군 장수읍 시장로 11,온누리상품권,Y,Y
전주모래내시장,전라북도 전주시 덕진구 모래내4길 8-8,전북 전주시 인후동2가 203-10,온누리상품권,Y,Y
전주동부시장,전라북도 전주시 완산구 경원동3가 90-13,전북 전주시 경원동 경원동3가 90-13 ,없음,Y,Y
"전주신중앙시장(구,중앙버드나무시장)",전라북도 전주시 완산구 태평5길 33,전북 전주시 완산구태평동 41-5,온누리상품권,Y,Y
전주중앙시장,전라북도 전주시 완산구 태평동 36-1,전북 전주시 태평동 36-1,온누리상품권,Y,Y
전주남부시장,전라북도 전주시 완산구 풍남문1길 19-3,전북 전주시 전동3가 2-242,온누리상품권,Y,Y
신태인시장,전라북도 정읍시 신태인읍 신태인1길 14,전북 정읍시 신태인읍 신태안리 152-8,온누리상품권,Y,Y
"정읍연지시장(구,정읍제2시장)",전라북도 정읍시 연지시장3길,전북 정읍시 연지동 31-1,온누리상품권,Y,Y
샘고을시장,전라북도 정읍시 태평 6길 25,전북 정읍시 시기동 409,온누리상품권,Y,Y
진안시장,전라북도 진안군 진안읍 시장1길 16,전북 진안군 진안읍 406-7,온누리상품권,Y,Y
대정오일시장,제주도 서귀포시 대정읍 하모리 1089-15,제주 서귀포시 대정읍 하설리 1089-15번지,온누리상품권,Y,Y
모슬포중앙시장,제주도 서귀포시 대정읍 하오리 822-1,제주 서귀포시 대정읍 하모리 872-7번지,온누리상품권,Y,Y
서귀포향토오일시장,제주도 서귀포시 동홍동35,제주 서귀포시 동홍동 744-3번지,온누리상품권,Y,Y
서귀포매일올레시장,제주도 서귀포시 서귀동 277-1,제주 서귀포시 서귀동 277-1번지,온누리상품권,Y,Y
고성오일시장,제주도 서귀포시 성산읍 고성리 1180-34,제주 서귀포시 성산읍 고성리 1180-4,온누리상품권,Y,Y
성산오일시장,제주도 서귀포시 성산읍 성산리 181-6,제주 서귀포시 성산읍 성산리 181-6번지,온누리상품권,Y,N
중문오일시장,제주도 서귀포시 중문동 2123-1,제주 서귀포시 중문동 2123-1번지,온누리상품권,Y,N
표선오일시장,제주도 서귀포시 표선읍 표선리 1001-1,제주 서귀포시 표선면 표선리 1001-1번지,온누리상품권,Y,Y
세화민속오일시장,제주도 제주시 구좌읍 세화리 1500,제주 제주시 구좌읍 세화리 1500-5번지,온누리상품권,Y,Y
도남시장,제주도 제주시 도낭동 923-13,제주 제주시 도남동 923-13번지,온누리상품권,Y,Y
제주시민속오일시장,제주도 제주시 도두1동 1212,제주 제주시 도두1동 1204-1번지,온누리상품권,Y,Y
보성시장,제주도 제주시 동광로 1길 32,제주 제주시 이도일동 1289-5번지,온누리상품권,Y,Y
동문시장(주),제주도 제주시 동문로 16,제주 제주시 일도일동 1148-2번지,온누리상품권,Y,N
탑동유니코상가,제주도 제주시 삼도2동1259,제주 제주시 삼도2동 1259번지,온누리상품권,Y,Y
제주시서문공설시장,제주도 제주시 서문로4길 13-2,제주 제주시 용담1동 135-9번지,온누리상품권,Y,Y
제주시동문재래시장,제주도 제주시 이도일동 1141-1,제주 제주시 이도일동 1431-2번지,온누리상품권,Y,N
제주동문수산시장,제주도 제주시 이도일동 1349-22,제주 제주시 이도일동 1349-22번지,온누리상품권,Y,Y
제주시동문공설시장,제주도 제주시 일도 일동 1103,제주 제주시 일도일동 1103번지,온누리상품권,Y,Y
칠성로상가,제주도 제주시 일도 일동 1463,제주 제주시 일도일동 1476-20번지,온누리상품권,Y,Y
신산시장,제주도 제주시 일도2동 377-11,제주 제주시 일도2동 377-11번지,온누리상품권,Y,Y
함덕오일시장,제주도 제주시 조천읍 함덕리 972-7,제주 제주시 조천읍 함덕리 972-7번지,온누리상품권,Y,Y
중앙로상점가,제주도 제주시 중앙로 85,제주 제주시 이도일동 1460번지,온누리상품권,Y,Y
화북종합시장,제주도 제주시 청풍길 14,제주 제주시 화북1동 1947번지,온누리상품권,Y,Y
제주시한림민속오일시장,제주도 제주시 한림읍 대림리 1968-4,제주 제주시 한림읍 대림리 1968-4,온누리상품권,Y,Y
한림매일시장,제주도 제주시 한림읍 한림로 681,제주 제주시 한림읍 한림리 1315-7번지,온누리상품권,Y,N
산성시장활성화구역,충청남도 공주시 국고개길20,충남 공주시 중동 279번지,온누리상품권,N,Y
공주산성시장,충청남도 공주시 용당길 12,충남 공주시 산성동 190-1번지,온누리상품권,Y,Y
유구시장,충청남도 공주시 유구읍 시장길 25-1 길,충남 공주시 유구읍 석남리 276번지,없음,Y,Y
금산시장,충청남도 금산군 금산군읍 금산천길98,충남 금산군 금산읍 하옥리 335-1,온누리상품권,Y,Y
금산약초시장,충청남도 금산군 금산읍 비단로 144,충남 금산군 금산읍 비단로 144번지,온누리상품권,Y,Y
중부프라자,충청남도 금산군 금산읍 비범로 19,충남 금산군 금산읍 비범로 19번지,온누리상품권,Y,Y
금산인삼쇼핑센타,충청남도 금산군 금산읍 인삼광장 47,충남 금산군 금산읍 인삼광장로 47번지,온누리상품권,Y,Y
금산국제인삼시장(금산인삼국제시장),충청남도 금산군 금산읍 인삼약초로 45,충남 금산군 금산읍 인삼약초로 45번지,온누리상품권,Y,Y
금산인삼전통시장,충청남도 금산군 금산읍 인삼전1길 20-12,충남 금산군 금산읍 건삼전1길 20-12번지,없음,N,Y
