시장명,소재지도로명주소,소재지지번주소,사용가능상품권,공중화장실 보유여부,주차장 보유여부
풍기인삼시장,경상북도 영주시 풍기읍 인삼로 8,경북 영주시 풍기읍 서부리145-3,온누리상품권,Y,Y
금호공설시장,경상북도 영천시 금호읍 금호로 101,경북 영천시 금호읍 교대리167-35,온누리상품권,Y,Y
영천공설시장,경상북도 영천시 시장4길 52,경북 영천시 완산동 982-3,온누리상품권,Y,Y
신녕공설시장,경상북도 영천시 신녕면 본관시장길3,경북 영천시 신녕면 화성리866-1,온누리상품권,Y,Y
예천맛고을시장,경상북도 예천군 예천읍 맛고을길 19,경북 예천군 예천읍 남본리 222-66 ,없음,N,Y
예천시장,경상북도 예천군 예천읍 시간로 50,경북 예천군 예천읍 남본리245-30,온누리상품권,Y,Y
예천상설시장,경상북도 예천군 예천읍 시장로 109,경북 예천군 예천읍 동본리553,온누리상품권,Y,Y
예천중앙시장,경상북도 예천군 예천읍 시장로 109,경북 예천군 예천읍 동본리 533,온누리상품권,N,N
용궁시장,경상북도 예천군 용궁면 읍부리 160,경북 예천군 용궁면 읍부리 160,온누리상품권,Y,N
풍양시장,경상북도 예천군 풍양면 낙산2길 37-13,경북 예천군 풍양면 낙상리 157-7,없음,Y,Y
척산시장,경상북도 울진군 기성면 척산길 46,경북 울진군 기성면 척산리211-6,없음,Y,Y
흥부시장,경상북도 울진군 북면 장터길 104,경북 울진군 북변면 부구리135,온누리상품권,Y,Y
울진시장,경상북도 울진군 울진읍 읍내1길 18,경북 울진군 울진읍 읍내리 60-1,온누리상품권,Y,Y
죽변시장,경상북도 울진군 죽변면 죽변리 36-8,경북 울진군 죽변면 죽변리36-8,온누리상품권,Y,Y
평해시장,경상북도 울진군 평해면 평해리 78-1,경북 울진군 평해면 평해리87-1,온누리상품권,Y,Y
후포시장,경상북도 울진군 후포면 삼율리 126,경북 울진군 후포면 삼율리126,온누리상품권,Y,Y
금성시장,경상북도 의성군 금성면 탑리1길 39,경북 의성군 금성면 산운리 644-2,없음,Y,Y
다인시장,경상북도 의성군 다인면 다인장길 21-4,경북 의성군 서릉리 167-1,없음,Y,Y
단촌정기시장,경상북도 의성군 단촌면 장터길 15,경북 의성군 단촌면 하화리 1097-9,없음,Y,N
봉양시장,경상북도 의성군 봉양면 도리원 6길 4,경북 의성군 봉양면 화전리 95-4,온누리상품권,Y,N
의성염매시장,경상북도 의성군 의성읍 염매시장길 11,경북 의성군 의성읍 후죽리 628-10,온누리상품권,Y,Y
의성공설재래시장,경상북도 의성군 의성읍 전통시장 2길 11-9,경북 의성군 의성읍 도동리 966,온누리상품권,Y,Y
안계공설시장,경상북도 의성군안계면용기2길7-4,경북 의성군 안계면 용기리 467-1,온누리상품권,Y,Y
동곡공설시장,경상북도 청도군 금천면 금천로 41-2,경북 청도군 금천면 동곡리776,없음,Y,Y
이서공설시장,경상북도 청도군 이서면 학산1길 51,경북 청도군 이서면 학산리 579-2,없음,Y,Y
청도공설시장,경상북도 청도군 청도읍 청도시장1길 23-12,경북 청도군 청도읍 고수리778,온누리상품권,Y,Y
풍각공설시장,경상북도 청도군 풍각면 송서7길 5,경북 청도군 풍각면 송서리552,온누리상품권,Y,Y
부남시장,경상북도 청송군 부남면 대전로 146-5,경북 청송군 부남면 대전리64,온누리상품권,Y,N
진보시장,경상북도 청송군 진보면 진안남2길 16-16,경북 청송군 진보면 진안리113-1,온누리상품권,Y,Y
청송시장,경상북도 청송군 청송읍 현충로106,경북 청송군 청송읍 월막리423-1외 18필지,온누리상품권,Y,Y
도평시장,경상북도 청송군 현동면 도평2길 19,경북 청송군 현동면 도평리839-3,온누리상품권,Y,N
화목시장,경상북도 청송군 현서면 구신북로57,경북 청송군 현서면 구산리100-14,없음,Y,N
약목시장,경상북도 칠곡군 약목면 약목리길 5-1,경북 칠곡군 약목면 복성리 949-1,없음,Y,N
왜관시장,경상북도 칠곡군 왜관읍 중앙로 3길 6-5,경북 칠곡군 왜관읍 왜관리211,온누리상품권,Y,Y
구룡포시장,경상북도 포항시 남구 구룡포읍 호미로 221번길 15,경북 포항시 구룡포읍 구룡포리 963-2,온누리상품권,Y,N
해도5(형산)시장,경상북도 포항시 남구 대도동 143-1,경북 포항시 대도동 143-1 ,없음,Y,N
영남시장,경상북도 포항시 남구 동해면 일월로 150,경북 포항시 동해면 약전리 436-3,온누리상품권,Y,N
도구시장(구동해시장),경상북도 포항시 남구 동해면 일월로 56번길 13,경북 포항시 동해면 도구리668-1,없음,Y,N
남부시장,경상북도 포항시 남구 상노동629,경북 포항시 상도동 629,온누리상품권,Y,Y
송도시장,경상북도 포항시 남구 송림로35,경북 포항시 송도동 440-6,없음,Y,Y
상대종합시장,경상북도 포항시 남구 양학천로 76번길 13,경북 포항시 상도동 1-12,없음,Y,N
연일전통시장,경상북도 포항시 남구 연일읍 연일로 159번길 46,경북 포항시 연일읍 생지리 194-1,온누리상품권,N,N
오천삼광시장,경상북도 포항시 남구 오천읍 정몽주로 679번길 3,경북 포항시 오천읍 구정리34-5,온누리상품권,Y,N
오천시장,경상북도 포항시 남구 오천읍 해병로 307번길 26-3,경북 포항시 남구오천읍 세계리 823-4,온누리상품권,Y,Y
포항운하송림시장,경상북도 포항시 남구 운하로 36번길 7,경북 포항시 송도동 493-11,온누리상품권,Y,N
장기시장,경상북도 포항시 남구 장기면 읍내길 61번길 247,경북 포항시 장기면 임중리 333-2,없음,Y,Y
동해종합시장,경상북도 포항시 남구 중앙로 134번길 27,경북 포항시 해도동 435-2,온누리상품권,Y,Y
큰동해시장,경상북도 포항시 남구 중앙로 146번길 30,경북 포항시 해도동 435-31 ,온누리상품권,Y,Y
대해종합시장,경상북도 포항시 남구 해노동288-56,경북 포항시 해도동 79-1,없음,Y,Y
효자시장,경상북도 포항시 남구 효자동길 8번길 10,경북 포항시 효자동 253-94,온누리상품권,Y,Y
기계시장,경상북도 포항시 북구 기계면 현내리 1동,경북 포항시 기계면 현내리386-2,없음,Y,N
북부시장,경상북도 포항시 북구 대신동 63-16,경북 포항시 대신동 63-16,온누리상품권,Y,N
한라종합시장,경상북도 포항시 북구 대안길 57,경북 포항시 북구 용흥동 357-1,온누리상품권,Y,N
중앙상가,경상북도 포항시 북구 불종로 44,경북 포항시 대흥동 732-14,온누리상품권,N,Y
장성종합시장,경상북도 포항시 북구 성실로 16,경북 포항시 북구 장성동 866-301,없음,Y,N
신광시장,경상북도 포항시 북구 신광면 토성리 337,경북 포항시 신광면 토성리337,없음,N,N
용흥시장,경상북도 포항시 북구 용흥동 366,경북 포항시 용흥동 366,없음,Y,N
그린종합시장,경상북도 포항시 북구 장성1352-1,경북 포항시 장성동 1352-1,없음,Y,Y
장량시장,경상북도 포항시 북구 장성동 866-302,경북 포항시 장성동 866-302,온누리상품권,Y,N
죽도농산물시장,경상북도 포항시 북구 죽도시장7길 7-4,경북 포항시 죽도동 5-22 ,온누리상품권,Y,Y
죽도시장,경상북도 포항시 북구 죽도시장길 4-7,경북 포항시 북구죽도동 2-586 ,온누리상품권,Y,Y
죽도어시장,경상북도 포항시 북구 죽도시장길 4-7,경북 포항시 죽도동 568-8,온누리상품권,Y,Y
죽장시장,경상북도 포항시 북구 죽장면 임암리 새마을로 3619-4,경북 포항시 죽장면 입암리 858-34,없음,Y,N
두호1시장,경상북도 포항시 북구 창포동 630,경북 포항시 창포동 630,온누리상품권,Y,Y
청하시장,경상북도 포항시 북구 청하면 미남리 382-3,경북 포항시 청하면 미남리382-3,없음,Y,N
양학시장,경상북도 포항시 북구 학잠동 83,경북 포항시 학잠동 83,온누리상품권,Y,N
환호그린빌시장,경상북도 포항시 북구 환호공원길 15,경북 포항시 북구 환호동 377-5,온누리상품권,Y,Y
흥해시장,경상북도 포항시 북구 흥해읍 성내리 63,경북 포항시 흥해읍 성내리 61-2,온누리상품권,Y,Y
비아5일시장,광주광역시 광산구 비아 충앙로 26-1,광주 광산구 비아동 83-5,온누리상품권,Y,Y
송정매일시장,광주광역시 광산구 송정동 813-1,광주 광산구 송정동 813-1,온누리상품권,Y,Y
송정5일시장,광주광역시 광산구 송정동 884-1,광주 광산구 송정동 884-1,온누리상품권,Y,Y
송정역전매일시장,광주광역시 광산구 송정로 8번길 13,광주 광산구 송정동 990-18,온누리상품권,Y,Y
우산매일시장,광주광역시 광산구 우산동,"광주 광산구 우산동 1577-2~6, 1578-1~6번지 일원",온누리상품권,Y,N
월곡시장,광주광역시 광산구 월곡동 687-3,광주 광산구 월곡동 687-3,온누리상품권,Y,Y
무등시장,광주광역시 남구 군분로 27(주월동),광주 남구 주월동 971-107,온누리상품권,Y,Y
봉선시장,광주광역시 남구 봉선 중앙로 91번길,광주 남구 봉선동 997-1,온누리상품권,Y,Y
남광주해뜨는시장,광주광역시 동구 제봉로 17번길 13-6,광주 동구 학동 74-14,온누리상품권,Y,Y
대인시장,광주광역시 동구 제봉로 194번길 10,광주 동구 대인동 310-9,온누리상품권,Y,Y
산수시장,광주광역시 동구 필문대로 206번길 6-38,광주 동구 산수동 560-1,온누리상품권,N,N
두암시장,광주광역시 북구 금녕길 23,광주 북구 두암동 856-5,온누리상품권,Y,Y
운암시장,광주광역시 북구 대자로 87,광주 북구 운암2동 94-7,온누리상품권,Y,Y
서방시장,광주광역시 북구 동문대로 14,광주 북구 풍향동 602-10,온누리상품권,Y,N
말바우시장,광주광역시 북구 서방로 81번길 27,광주 북구 우산동 190-1,온누리상품권,Y,Y
동부시장,광주광역시 북구 중문로 9번길 39,광주 북구 중흥 272-6,온누리상품권,Y,N
중흥시장,광주광역시 북구 중흥로 154,광주 북구 중흥동 684,없음,Y,N
양동경열로시장,광주광역시 서구 경열로 144,광주 서구 양동 307-46,온누리상품권,Y,Y
양동수산전통시장,광주광역시 서구 양동 5-254,광주 서구 양동 5-254,온누리상품권,Y,Y
양동복개상가,광주광역시 서구 양동 복개상가,광주 서구 양동 441,온누리상품권,Y,Y
광주양동시장,광주광역시 서구 천변좌로 238,광주 서구 양동 5-101,온누리상품권,Y,Y
양동건어물시장,광주광역시 서구 천변좌로 254번길 6,광주 서구 양동 5-41,온누리상품권,Y,Y
양동닭전길시장,광주광역시 서구 천변좌로 262번길 4(양동),광주 서구 양동 5,온누리상품권,Y,Y
양동산업용품시장,광주광역시 서구 천변좌로 294,광주 서구 양동 135-1,온누리상품권,Y,Y
화정동서부시장,광주광역시 서구 화운로 156번길 24-1,광주 서구 화정동 783-5,온누리상품권,N,N
남광주시장,광주광역시 제봉로17번길 13-6,광주  동구 학동 55-57,온누리상품권,Y,Y
대명중앙시장,대구광역시 남구 대명동 1040,대구 남구 봉덕동 1040,온누리상품권,Y,N
관문상가시장,대구광역시 남구 대명동 1157-10,대구 남구 대명동 1157-10,온누리상품권,Y,Y
관문시장,대구광역시 남구 대명동 1157-10,대구 남구 대명동 1160,없음,Y,Y
대명신시장,대구광역시 남구 대명동 1374-54,대구 남구 대명동 2282-2,온누리상품권,Y,Y
명덕시장,대구광역시 남구 대명동 139-1,대구 남구 대명동 139-1,온누리상품권,Y,N
대명시장,대구광역시 남구 대명동 1395-56,대구 남구 대명동 2276-5,온누리상품권,Y,N
영선신시장,대구광역시 남구 대명동 2014-204,대구 남구 대명동 2014-204,온누리상품권,Y,N
성당시장,대구광역시 남구 대명동 3023-23,대구 남구 대명동 3023-23,온누리상품권,Y,Y
광덕시장,대구광역시 남구 대명동 460,대구 남구 대명동 460,온누리상품권,Y,N
남부시장,대구광역시 남구 대명동 797,대구 남구 대명동 797,온누리상품권,Y,N
안지랑시장,대구광역시 남구 대명동 872,대구 남구 대명동 872,온누리상품권,Y,Y
봉덕시장,대구광역시 남구 봉덕동 961,대구 남구 봉덕동 961,온누리상품권,Y,Y
봉덕신시장,대구광역시 남구 봉덕동 97-80,대구 남구 봉덕동 955-80,온누리상품권,Y,N
성서보성화성상가,대구광역시 달서구 계대동문로 99,대구 달서구 이곡동 1191,없음,Y,N
달서송림시장,대구광역시 달서구 구마로 176,대구 달서구 본동 225-1,없음,Y,Y
용산종합큰시장,대구광역시 달서구 달구벌대로 301길 187-11,대구 달서구 용산동 933,온누리상품권,Y,N
서남시장,대구광역시 달서구 달구벌대로 329길 17,대구 달서구 감삼동 55-5,온누리상품권,Y,N
서남신시장,대구광역시 달서구 달구벌대로9길 32,대구 달서구 감삼동 56-18,온누리상품권,Y,Y
두류종합시장,대구광역시 달서구 당산동길 9,대구 달서구 성당동 704-5,온누리상품권,Y,Y
달서시장,대구광역시 달서구 당산로 35,대구 달서구 본리동 145-2,온누리상품권,Y,N
도원시장,대구광역시 달서구 도원도동길 8,대구 달서구 도원동 1437-1,온누리상품권,Y,N
대곡시장,대구광역시 달서구 도원로 24,대구 달서구 도원동 1432,온누리상품권,Y,N
서대구시장,대구광역시 달서구 명덕로2길 30,대구 달서구 두류동 1216-1,온누리상품권,Y,N
대구대동시장,대구광역시 달서구 상원로 22-24,대구 달서구 상인동 1472-1,온누리상품권,Y,N
상원시장,대구광역시 달서구 상인로 9,대구 달서구 상인동 1582-4,온누리상품권,N,N
상인영남상가,대구광역시 달서구 상인서로 76,대구 달서구 상인동 1517,없음,Y,N
성서와룡시장,대구광역시 달서구 성서서로 347-1,대구 달서구 신당동 1763-9,온누리상품권,Y,N
송현주공시장,대구광역시 달서구 송현로 12안길 38,대구 달서구 송현동 1948-3,온누리상품권,Y,Y
송경종합시장,대구광역시 달서구 앞산순환로 49길 73,대구 달서구 송현동 1941-3,없음,Y,N
신내당시장,대구광역시 달서구 야외음악당로 39길 62,대구 달서구 두류동 486-1,없음,Y,N
대구예전우시장,대구광역시 달서구 야외음악당로 47길 111,대구 달서구 두류동 136-6,없음,Y,N
성서용산시장,대구광역시 달서구 용산동 442-8,대구 달서구 용산동 421-1,온누리상품권,N,N
보성은하상가,대구광역시 달서구 월곡로 320,대구 달서구 상인동 42,없음,Y,Y
월배시장,대구광역시 달서구 월배로 24길 13,대구 달서구 진천동 241-3,온누리상품권,Y,Y
월배신시장,대구광역시 달서구 월배로 28안길 54,대구 달서구 진천동 239-23 외13필지,온누리상품권,Y,N
월성청구시장,대구광역시 달서구 학산로 17,대구 달서구 월성동 89-2,온누리상품권,Y,Y
논공중앙시장,대구광역시 달성군 논공읍 용호로 2길 12,대구 달성군 논공읍 북리 824-35,온누리상품권,Y,N
현풍공설시장,대구광역시 달성군 현풍면 현풍로 6길 5,대구 달성군 현풍면 원교리12-1,온누리상품권,Y,Y
화원시장,대구광역시 달성군 화원읍 버슬로 512길 58-5,대구 달성군 화원읍 천내리892-1,온누리상품권,Y,Y
송라시장,대구광역시 동구 동부로 5길,대구 동구 신천1.2동 537-13,온누리상품권,Y,N
방촌시장,대구광역시 동구 방촌동 1067-2,대구 동구 방촌동 1067-2,온누리상품권,Y,Y
현대시장,대구광역시 동구 방촌동 902-7,대구 동구 방촌동 902-7,없음,Y,N
불로전통시장,대구광역시 동구 불로동 449-1,대구 동구 불로동 449-1,온누리상품권,Y,N
반야월종합시장,대구광역시 동구 신기동 174-4,대구 동구 신기동 174-1,온누리상품권,Y,N
목련시장,대구광역시 동구 신기동 271-2,대구 동구 신기동 271-2,온누리상품권,Y,N
평화시장,대구광역시 동구 신암1동 597-1,대구 동구 신암1동 597-1,온누리상품권,Y,N
동서시장,대구광역시 동구 신암5동 95-15,대구 동구 신암5동 96-161,온누리상품권,Y,N
성동시장,대구광역시 동구 신암동 327-1,대구 동구 신암동 327-1,온누리상품권,Y,Y
동대구역전시장,대구광역시 동구 신천3동 278,대구 동구 신천3동 278,온누리상품권,Y,N
신암시장,대구광역시 동구 아양로 8길 11,대구 동구 신암동 211,온누리상품권,Y,Y
공항시장,대구광역시 동구 지저동 694-42,대구 동구 지저동 694-42,온누리상품권,Y,N
효목시장,대구광역시 동구 효목1동 139-5,대구 동구 효목1동 139-5,온누리상품권,Y,Y
동구시장,대구광역시 동구 효목2동 533,대구 동구 효목2동 533,온누리상품권,Y,N
효신시장,대구광역시 동구 효신로 5길 40(신천동),대구 동구 신천4동 415-1,온누리상품권,Y,Y
복현전통신시장,대구광역시 북구 경지로 78,대구 북구 복현동 493-9,없음,Y,N
복현종합시장,대구광역시 북구 경진로1길 78,대구 북구 복현동 462,없음,Y,Y
관음시장,대구광역시 북구 관음중앙로 28길 1,대구 북구 관음동 1284,온누리상품권,Y,N
팔달신시장,대구광역시 북구 노원3가750,대구 북구 노원3가 876,온누리상품권,Y,Y
산격종합시장,대구광역시 북구 대동로 1길 34,대구 북구 산격동 1258,없음,Y,N
동대구시장,대구광역시 북구 대현동 20길 30,대구 북구 대현동 390,온누리상품권,Y,Y
동대구신시장,대구광역시 북구 대현동 390번지 일원,대구 북구 대현동 272,온누리상품권,N,Y
칠곡시장,대구광역시 북구 칠곡 중앙대로 526,대구 북구 읍내동 1201-1 ,온누리상품권,Y,Y
대성시장,대구광역시 북구 칠성2가 302-95,대구 북구 칠성 302-95,온누리상품권,Y,Y
대구능금시장,대구광역시 북구 칠성남로 197-15,대구 북구 칠성1가 250-1,온누리상품권,Y,N
칠성시장,대구광역시 북구 칠성남로 227,대구 북구 칠성1가 276-165,온누리상품권,Y,N
칠성진시장,대구광역시 북구 칠성시장로 19,대구 북구 칠성동1가  96-2,온누리상품권,Y,N
대구청과시장,대구광역시 북구 칠성시장로 34,대구 북구 칠성1가 276-102,온누리상품권,Y,N
삼성시장,대구광역시 북구 칠성시장로 42,대구 북구 칠성1가 276-108,온누리상품권,Y,N
경명시장,대구광역시 북구 칠성시장로 5길 22,대구 북구 칠성동 89,온누리상품권,Y,N
칠성원시장,대구광역시 북구 칠성시장로 5길 22,대구 북구 칠성1가 81,온누리상품권,Y,N
구암시장,대구광역시 북구 태암남로 11길 18,대구 북구 구암동 693,온누리상품권,Y,N
중앙시장,대구광역시 북구 태전로 15,대구 북구 태전동 156-1,온누리상품권,Y,Y
팔달시장,대구광역시 북구 팔달로 37길 11,대구 북구 노원2가 375,없음,Y,N
서변중앙시장,대구광역시 북구 호국로 43길 27,대구 북구 서변동 1751,온누리상품권,Y,N
중리시장,대구광역시 서구 국채보상로 31길,대구 서구 평리동 1538-3,온누리상품권,Y,N
신평리시장,대구광역시 서구 국채보상로 52길 33,대구 서구 평리동 1205,온누리상품권,Y,N
서부시장,대구광역시 서구 달서로 26길 7-2,대구 서구 비산동 434,온누리상품권,Y,N
새길시장,대구광역시 서구 달서로 4길 17-7,대구 서구 내당동 968,온누리상품권,Y,N
원대신시장,대구광역시 서구 달서로 54길 6,대구 서구 원대동 1434-4,온누리상품권,Y,N
서구시장,대구광역시 서구 면리동 1085-1,대구 서구 평리동 1085-1,온누리상품권,Y,N
이현시장,대구광역시 서구 문화로 33길 24,대구 서구 평리동 606-8,온누리상품권,Y,N
대평리시장,대구광역시 서구 문화로 49길 25,대구 서구 평리동 676-7,온누리상품권,Y,N
중평시장,대구광역시 서구 서대로길 17길 16,대구 서구 평리동 1437-5,없음,Y,N
원고개시장,대구광역시 서구 통학로 46길 48,대구 서구 비산동 569-2,온누리상품권,Y,N
태백시장,대구광역시 수성2가 39-4,대구 수성구 수성동2가 39-4,온누리상품권,Y,Y
청구시장,대구광역시 수성구 만촌동 984-1,대구 수성구 만촌동 984-1,온누리상품권,Y,Y
신천시장,대구광역시 수성구 범어천로 208-24,대구 수성구 범어동 1004-1,온누리상품권,Y,N
수성현대시장,대구광역시 수성구 수성1가 649-76,대구 수성구 수성동1가 649-76,온누리상품권,Y,Y
동성시장,대구광역시 수성구 수성2가 39-1,대구 수성구 수성동2가 39-2,온누리상품권,Y,N
수성시장,대구광역시 수성구 수성2가 39-3,대구 수성구 수성동2가 39-4,온누리상품권,Y,Y
신매시장,대구광역시 수성구 신매로 16길 24,대구 수성구 신매동 576번지,온누리상품권,N,N
"지산목련시장(구,지산종합시장)",대구광역시 수성구 지산동 1199-10,대구 수성구 지산동 1199-10,온누리상품권,Y,Y
황금시장,대구광역시 수성구 황금동 764,대구 수성구 황금동 764,온누리상품권,Y,Y
중앙시장,대구광역시 중구 경상감영길 101,대구 중구 포정동 21-3 ,없음,Y,Y
교동시장활성화구역,대구광역시 중구 교동길 40,대구 중구 교동 67-12,온누리상품권,Y,N
동부시장,대구광역시 중구 국채보상로 749,대구 중구 동인동 470-2 ,온누리상품권,Y,N
보성황실시장,대구광역시 중구 낙산로 13길 17,대구 중구 남산4동 2466-1,없음,Y,N
염매시장,대구광역시 중구 남성로 48(덕산동),대구 중구 덕산동 38 ,온누리상품권,Y,N
방천시장,대구광역시 중구 달구,대구 중구 대봉동 12-37 일대 ,온누리상품권,Y,N
서문시장제1지구포목시장,대구광역시 중구 대신동 큰장로 28길 10,대구 중구 대신동 115-379 ,온누리상품권,Y,N
남문시장,대구광역시 중구 명륜로 70,대구 중구 남산동 698-22,온누리상품권,Y,N
서문시장2지구종합상가,대구광역시 중구 큰장로 26길 25,대구 중구 대신동 2105,온누리상품권,Y,Y
서문시장5지구,대구광역시 중구 큰장로 26길 6(대신동 115-400),대구 중구 대신동 115-400 ,온누리상품권,Y,N
동산상가,대구광역시 중구 큰장로 26길 65(대신동),대구 중구 대신동 115-30 ,온누리상품권,Y,Y
서문시장건해산물상가,대구광역시 중구 큰장로 26안길 5,대구 중구 대신동 265-5 ,온누리상품권,Y,N
서문시장제1지구직물시장,대구광역시 중구 큰장로 28길 10,대구 중구 대신동 115-379 ,온누리상품권,Y,N
명품프라자상가,대구광역시 중구 큰장로 28길 27,대구 중구 대신동 115-112 ,온누리상품권,Y,Y
서문시장제4지구,대구광역시 중구 큰장로 28길 28,대구 중구 대신동 115-377 ,온누리상품권,Y,N
번개시장,대구광역시 중구 태평로 177-2,대구 중구 태펑로1가 1-186 ,온누리상품권,Y,N
법동시장,대전광역시 대덕구 법동 199,대전 대덕구 법동 199번지 일원,온누리상품권,Y,N
신탄진시장,대전광역시 대덕구 석봉로 37번길 46-16,대전 대덕구 석봉동 417번지 일원,온누리상품권,Y,N
송촌시장,대전광역시 대덕구 송촌동 476,대전 대덕구 송촌동 476번지 일원,온누리상품권,Y,N
중리시장,대전광역시 대덕구 중리 북로 31번길 26,대전 대덕구 중리동 370번지 일원,온누리상품권,Y,N
대전도매시장,대전광역시 동구 대전로 785번길 10번지,대전 동구 중동 76번지,온누리상품권,Y,N
전통중앙도매상가,대전광역시 동구 대전로 785번길 16(중동),대전 동구 중동 76-1번지,온누리상품권,Y,Y
중앙상가시장,대전광역시 동구 대전로 797번길 37,대전 동구 중동 28,온누리상품권,Y,N
인동시장,대전광역시 동구 대전천동로 450(인동),대전 동구 인동 53-1,온누리상품권,Y,Y
가양시장,대전광역시 동구 매봉로 18,대전 동구 가양동 434,온누리상품권,Y,Y
용운시장,대전광역시 동구 용운로 164번길 9,대전 동구 용운동 351-1,온누리상품권,Y,Y
중앙메가프라자,대전광역시 동구 원동 42-1,대전 동구 원동 42-1,온누리상품권,Y,N
중앙종합시장,대전광역시 동구 원동 65-1(동구 중교로 119),대전 동구 원동 65-1번지,온누리상품권,Y,N
신중앙시장,대전광역시 동구 월동 40-1,대전 동구 원동 40-1,온누리상품권,Y,N
자유도매시장,대전광역시 동구 중앙로 200번길 40,대전 동구 원동 64-1,온누리상품권,Y,Y
중앙도매시장,대전광역시 동구 중앙로 200번지,대전 동구 원동 38-1,온누리상품권,Y,N
대전상가시장,대전광역시 동구 충무로 185,대전 동구 인동 52-1번지,온누리상품권,Y,N
신도시장,대전광역시 동구 흥룡로 37번길 12,대전 동구 가양동 38-5,온누리상품권,Y,Y
한민시장,대전광역시 서구 가장로 94,대전 서구 괴정 88-6번지,온누리상품권,Y,N
도마큰시장,대전광역시 서구 도마2길 39,대전 서구 도마 133-4번지,온누리상품권,Y,Y
송강시장,대전광역시 유성구 구즉로 74-7,대전 유성구 송강동 49-10번지,온누리상품권,Y,Y
문창전통시장,대전광역시 중구 문창동 보문로 20길 22번지,대전 중구 문창동 116-8번지,온누리상품권,Y,Y
유천전통시장,대전광역시 중구 문화로 105번길 113,대전 중구 유천동 303-10번지,온누리상품권,Y,N
부사전통시장,대전광역시 중구 부사동 148-6,대전 중구 부사동 148-6번지,온누리상품권,Y,Y
산성전통시장,대전광역시 중구 산성동 285-1,대전 중구 산성동 282-5번지,온누리상품권,Y,Y
오류전통시장,대전광역시 중구 오류동88길 72,대전 중구 오류동 164-12번지,온누리상품권,Y,N
용두전통시장,대전광역시 중구 용두동 13-18,대전 중구 용두동 12-2,없음,N,N
태평전통시장,대전광역시 중구 태평1동(수림로 55번길 56),대전 중구 태평동 333-8번지,온누리상품권,Y,Y
가야벽산상가,부산광역시 부산진구 엄광로 68,부산 진구 가야2동 669-9번지,없음,Y,Y
명지시장,부산광역시 강서구 명지동 1-377,부산 강서구 명지동 1-377,온누리상품권,Y,Y
구서오시게시장,부산광역시 금정구 구서로 12,부산 금정구 구서동 87-9,온누리상품권,Y,N
금사제일상가시장,부산광역시 금정구 금사동 68-14,부산 금정구 금사동 68-14,온누리상품권,Y,N
부곡상가시장,부산광역시 금정구 부곡동 304-1,부산 금정구 부곡동 304-1,온누리상품권,Y,N
서동향토시장,부산광역시 금정구 서동 194-1,부산 금정구 서동 194-1,온누리상품권,Y,N
서동시장,부산광역시 금정구 서동 302,부산 금정구 서동 302,온누리상품권,Y,Y
서동전통골목시장,부산광역시 금정구 서동 339-1,부산 금정구 서동 339-1,온누리상품권,Y,N
장성시장,부산광역시 금정구 수림로 61번길 53 ,부산 금정구 장전동 155-17,없음,Y,N
장전상가시장,부산광역시 금정구 장전동 421-7번지,부산 금정구 장전동 421-7,온누리상품권,Y,N
기장시장,부산광역시 기장군 기장읍 대라리 72-1,부산 기장군 기장읍 대라리 72-1,온누리상품권,Y,Y
새감만종합시장,부산광역시 남구 감만1동 163-2,부산 남구 감만1동 163-2,온누리상품권,Y,Y
감만시장,부산광역시 남구 감만1동 171-9번지,부산 남구 감만1동 171-9번지 일원,온누리상품권,N,N
대연삼익상가시장,부산광역시 남구 대연3동 1808번지,부산 남구 대연3동 1808,없음,Y,Y
못골골목시장,부산광역시 남구 대연5동 1416-23,부산 남구 대연5동 1416-23,온누리상품권,N,Y
대연시장,부산광역시 남구 대연5동 1760-1번지,부산 남구 대연5동 1760-1,온누리상품권,Y,N
용호삼성시장,부산광역시 남구 용호1동 126-4번지,부산 남구 용호1동 128-1,온누리상품권,Y,N
용호시장,부산광역시 남구 용호2동 316-10번지,부산 남구 용호2동 516-10,온누리상품권,Y,Y
용호골목시장,부산광역시 남구 용호3동 494-19번지,부산 남구 용호3동 494-19,온누리상품권,Y,N
용호1동골목시장,부산광역시 남구 용희동 126-4,부산 남구 용호1동 126-4,온누리상품권,Y,N
우암골목시장,부산광역시 남구 우암2동 189-671,부산 남구 우암2동 189-671,없음,N,N
동성하이타운시장,부산광역시 남구 천제등로 11,부산 남구 대연2동 1756-9,없음,Y,Y
성북시장,부산광역시 동구 범일4동 1430-53,부산 동구 범일4동 1430-53,온누리상품권,N,N
부산진시장,부산광역시 동구 범일동 290-1번지,부산 동구 범일동 290,온누리상품권,Y,Y
부산진남문시장,부산광역시 동구 범일동 290-3,부산 동구 범일동 291,온누리상품권,Y,Y
수정시장,부산광역시 동구 수정2동 170-1번지,부산 동구 수정2동 170-1,온누리상품권,Y,Y
수정재래시장,부산광역시 동구 수정동 248-3,부산 동구 수정동 248-3,온누리상품권,N,N
부산자유시장,부산광역시 동구 조방로 48(범일동),부산 동구 범일동 830-24,온누리상품권,Y,Y
초량전통시장,부산광역시 동구 초량동 308-1,부산 동구 초량동 308-1,온누리상품권,N,N
초량상가시장,부산광역시 동구 초량로 15 초량상가시장,부산 동구 초량동 200,온누리상품권,Y,N
동래시장,부산광역시 동래구 복천동 229-28,부산 동래구 복천동 229-28,온누리상품권,Y,Y
